# Cline free models - auto-generated by cline_Models_Free_Make.sh
# Source: the Usage-Billing (kilo) catalogue embedded in the cline binary.
# Do not edit by hand; re-run cline_Models_Free_Make.sh after every cline update.
# Format: model id <TAB> display name
cline-free/deepseek-v4.1-flash	DeepSeek V4.1 Flash (free)
cline-free/muse-spark-1.3-contributor	Muse Spark 1.3 Contributor (free)
z-ai/glm-5.3-flash	GLM-5.3-Flash (free)
cline-free/solar-pro4	Solar Pro 4 (free)
poolside/laguna-s-2.1:free	Laguna S 2.1 (free)
inclusionai/ling-3.0-flash-vl:free	inclusionAI: Ling 3.0 Flash VL (free)
nex-agi/nex-n2.5-mini:free	Nex AGI: Nex-N2.5-Mini (free)
nex-agi/nex-n2.5-pro:free	Nex AGI: Nex-N2.5-Pro (free)
inclusionai/ling-3.0-flash-sante:free	inclusionAI: Ling 3.0 Flash Sante (free)
inclusionai/ling-3.0-flash-fin:free	inclusionAI: Ling 3.0 Flash Fin (free)
dots-studio/dots-3-note-preview:free	Dots Studio: Dots3-Note Preview (free)
liquid/lfm-2.5-2.6b:free	LiquidAI: LFM2.5-2.6B (free)
nvidia/nemotron-3.5-lightning:free	NVIDIA: Nemotron 3.5 Lightning (free)
thinkingmachines/inkling-small:free	Thinking Machines: Inkling Small (free)
poolside/laguna-xs-2.1:free	Poolside: Laguna XS 2.1 (free)
cohere/north-mini-code:free	Cohere: North Mini Code (free)
nvidia/nemotron-3-ultra-550b-a55b:free	NVIDIA: Nemotron 3 Ultra (free)
stepfun/step-3.7-flash:free	StepFun: Step 3.7 Flash (free)
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free	NVIDIA: Nemotron 3 Nano Omni (free)
nvidia/nemotron-3-super-120b-a12b:free	NVIDIA: Nemotron 3 Super (free)
openrouter/free	OpenRouter Free Models Router
